City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,geraldton,-28.7667,114.6,88.21,22,0,13.8,AU,1706826649
1,waitangi,-43.9535,-176.5597,64.81,93,99,1.01,NZ,1706826839
2,avanigadda,16.0215,80.9181,71.6,92,92,3.94,IN,1706826840
3,wailua homesteads,22.0669,-159.378,77.43,75,20,6.91,US,1706826840
4,adamstown,-25.066,-130.1015,76.69,88,42,20.2,PN,1706826840
5,bulgan,48.8125,103.5347,-9.98,89,4,3.56,MN,1706826840
6,port-aux-francais,-49.35,70.2167,44.47,86,35,14.25,TF,1706826840
7,whakatane,-37.9585,176.9854,76.51,74,73,5.01,NZ,1706826841
8,longyearbyen,78.2186,15.6401,13.84,73,75,6.91,SJ,1706826841
9,susuman,62.7833,148.1667,-15.02,100,100,1.01,RU,1706826797
10,prince rupert,54.3161,-130.3201,46.49,100,100,5.75,CA,1706826841
11,tsawwassen,49.018,-123.0817,56.91,76,100,18.41,CA,1706826841
12,la serena,-29.9078,-71.2542,69.31,73,40,12.66,CL,1706826842
13,berezovyy,51.6667,135.7,-13.4,85,33,4.54,RU,1706826842
14,edinburgh of the seven seas,-37.0676,-12.3116,65.88,92,94,19.24,SH,1706826842
15,porto novo,6.4965,2.6036,84.02,85,46,7.29,BJ,1706826842
16,ad douiem,14.0012,32.3116,63.27,21,62,14.76,SD,1706826843
17,thompson,55.7435,-97.8558,15.96,79,75,3.44,CA,1706826630
18,barra do corda,-5.5,-45.25,77.65,92,100,2.48,BR,1706826843
19,hermanus,-34.4187,19.2345,73.8,91,10,9.26,ZA,1706826843
20,puerto ayora,-0.7393,-90.3518,85.96,76,98,8.1,EC,1706826843
21,igarka,67.4667,86.5833,4.55,94,100,20.65,RU,1706826844
22,vadso,70.0744,29.7487,31.08,93,20,39.12,NO,1706826844
23,hawaiian paradise park,19.5933,-154.9731,82.04,76,100,8.05,US,1706826844
24,talnakh,69.4865,88.3972,6.21,87,100,17.43,RU,1706826844
25,enewetak,11.3474,162.3373,79.7,83,98,26.06,MH,1706826844
26,udachny,66.4167,112.4,-22.7,97,98,3.83,RU,1706826845
27,at taj,24.2049,23.2857,43.75,52,0,7.58,LY,1706826845
28,slany,50.2305,14.0869,41.68,76,75,9.22,CZ,1706826845
29,georgetown,5.4112,100.3354,80.53,88,20,4.61,MY,1706826845
30,fale old settlement,-9.3852,-171.2468,82.71,81,100,19.46,TK,1706826846
31,iqaluit,63.7506,-68.5145,-25.31,60,40,12.66,CA,1706826846
32,ha'il,27.5219,41.6907,44.62,57,0,9.22,SA,1706826846
33,sao vicente,-23.9631,-46.3919,80.78,59,74,7.0,BR,1706826638
34,bredasdorp,-34.5322,20.0403,70.32,91,48,8.81,ZA,1706826846
35,bethel,41.3712,-73.414,43.16,73,100,6.91,US,1706826847
36,gillette,44.2911,-105.5022,59.92,29,0,16.11,US,1706826847
37,kailua-kona,19.6406,-155.9956,84.27,70,75,8.05,US,1706826705
38,yellowknife,62.456,-114.3525,10.29,90,75,16.11,CA,1706826847
39,avarua,-21.2078,-159.775,86.05,74,96,5.75,CK,1706826848
40,puerto natales,-51.7236,-72.4875,51.46,65,94,6.04,CL,1706826848
41,griffith,41.5284,-87.4237,51.13,84,0,8.05,US,1706826848
42,fort mcmurray,56.7268,-111.381,45.99,61,0,5.75,CA,1706826641
43,tiksi,71.6872,128.8694,-5.03,97,100,5.26,RU,1706826848
44,urangan,-25.3,152.9,82.2,76,2,11.01,AU,1706826848
45,ban phai,16.06,102.731,76.1,59,17,0.27,TH,1706826849
46,winburg,-28.518,27.0093,73.26,29,90,15.84,ZA,1706826849
47,ta`u,-14.2336,-169.5144,83.62,77,100,11.59,AS,1706826849
48,al ghayzah,16.2079,52.176,74.86,82,41,7.87,YE,1706826849
49,ribeira grande,38.5167,-28.7,60.78,91,37,1.99,PT,1706826850
50,ilulissat,69.2167,-51.1,-3.98,65,75,11.5,GL,1706826850
51,margaret river,-33.95,115.0667,66.18,82,6,6.17,AU,1706826850
52,bikenibeu village,1.3673,173.1241,85.96,89,75,8.05,KI,1706826850
53,alofi,-19.0595,-169.9187,78.64,89,100,14.88,NU,1706826850
54,new norfolk,-42.7826,147.0587,59.72,55,71,13.44,AU,1706826851
55,puerto baquerizo moreno,-0.9,-89.6,81.59,83,75,5.75,EC,1706826851
56,ushuaia,-54.8,-68.3,62.22,50,40,32.21,AR,1706826851
57,kerikeri,-35.2268,173.9474,76.91,71,66,1.99,NZ,1706826851
58,ust-nera,64.5667,143.2,-24.39,100,100,3.76,RU,1706826851
59,palatka,29.6486,-81.6376,63.45,61,90,1.32,US,1706826852
60,olonkinbyen,70.9221,-8.7187,19.13,61,48,9.22,SJ,1706826852
61,uturoa,-16.7333,-151.4333,82.65,67,92,13.76,PF,1706826852
62,afaahiti,-17.75,-149.2833,85.87,76,43,16.04,PF,1706826852
63,keflavik,64.0049,-22.5624,37.83,100,100,4.61,IS,1706826852
64,petropavlovsk-kamchatsky,53.0452,158.6483,5.59,86,75,11.18,RU,1706826853
65,mercedes,-34.6515,-59.4307,93.63,15,5,9.1,AR,1706826583
66,remire-montjoly,4.9167,-52.2667,78.84,83,0,1.14,GF,1706826853
67,nemuro,43.3236,145.575,16.9,67,36,14.61,JP,1706826853
68,hamilton,39.1834,-84.5333,54.23,63,0,10.36,US,1706826813
